compra_venta,cantidad,precio,ofertada_casada
C,72.0,26.50,O
C,205.0,26.50,O
C,138.0,26.45,O
C,13.3,26.44,O
C,3.8,26.44,O
C,7.8,26.44,O
C,14.3,26.44,O
C,5.5,26.44,O
C,0.1,26.20,O
C,205.0,26.15,O
C,80.0,26.10,O
C,11.1,26.00,O
C,16.6,25.90,O
C,0.1,25.70,O
C,78.0,25.50,O
C,0.1,25.20,O
C,12.2,25.00,O
C,20.0,24.86,O
C,0.1,24.70,O
C,0.1,24.20,O
C,88.0,23.10,O
C,20.0,19.86,O
C,6.6,19.00,O
C,94.0,18.10,O
C,115.0,15.00,O
C,20.0,14.86,O
C,0.1,10.00,O
C,16.4,10.00,O
C,7.2,10.00,O
C,0.1,10.00,O
C,0.1,10.00,O
C,42.8,8.44,O
C,7.2,8.44,O
C,37.5,6.94,O
C,12.5,6.94,O
C,18.0,5.44,O
C,10.8,5.44,O
C,23.7,5.44,O
C,7.2,5.00,O
C,68.0,5.00,O
C,27.3,4.00,O
C,48.8,3.94,O
C,49.5,3.00,O
C,39.6,2.50,O
C,5.9,2.44,O
C,42.8,2.44,O
C,52.0,2.13,O
C,47.5,2.00,O
C,0.1,2.00,O
C,3.0,2.00,O
C,55.4,1.50,O
C,52.0,1.13,O
C,21.7,1.00,O
C,55.3,1.00,O
C,0.1,1.00,O
C,53.0,0.20,O
C,32.7,0.15,O
C,52.0,0.13,O
C,104.2,0.10,O
C,32.7,0.10,O
C,53.0,0.10,O
C,5.0,0.01,O
C,4736.9,0,O
C,11.5,0,O
C,150.0,0,O
C,25.0,0,O
C,1.0,0,O
C,20.0,0,O
C,20.0,0,O
C,20.0,0,O
C,37.1,0,O
C,4557.5,0,O
V,140.4,0,O
V,2.9,0,O
V,0.6,0,O
V,42.7,0,O
V,49.7,0,O
V,0.8,0,O
V,171.0,0,O
V,171.0,0,O
V,180.0,0,O
V,180.0,0,O
V,180.0,0,O
V,170.0,0,O
V,161.0,0,O
V,161.0,0,O
V,170.0,0,O
V,170.0,0,O
V,150.0,0,O
V,157.0,0,O
